name,birthday,nationality
Tom Hanks,1956-07-09,USA
Julia Roberts,1967-10-28,USA
Wagner Moura,1976-06-27,Brazil
Sandra Bullock,1964-07-26,USA
Gisele Bundchen,1980-07-20,Brazil
Denzel Washington,1954-12-28,USA
Camila Mendes,1994-06-29,Brazil
Brad Pitt,1963-12-18,USA
Fernanda Montenegro,1929-10-16,Brazil
Leonardo diCaprio,1974-11-11,USA
Chris Evans,1981-06-13,USA
Gloria Pires,1963-08-23,Brazil
Meryl Streep,1949-06-22,USA
Robert Downey Jr.,1965-04-04,USA
Tais Araújo,1978-11-25,Brazil
Matt Damon,1970-10-08,USA
Cauã Raymond,1980-05-20,Brazil
Angelina Jolie,1975-06-04,USA
Rodrigo Santoro,1975-08-22,Brazil
